Product_ID,Price_ETB
100600,79656
100601,95067
100602,62126
100603,7769
100604,88890
100605,23731
100606,88494
100607,96636
100608,56872
100609,3986
100610,7598
100611,83244
100612,46162
100613,18221
100614,8022
100615,55514
100616,99728
100617,15035
100618,4007
100619,98936
100620,68724
100621,37659
100622,14328
100623,3178
100624,50582
100625,99759
100626,76470
100627,86310
100628,90618
100629,64979
100630,62129
100631,90054
100632,84258
100633,60562
100634,44213
100635,24668
100636,18294
100637,31759
100638,72012
100639,51502
100640,25135
100641,87119
100642,83876
100643,63494
100644,61683
100645,26950
100646,52846
100647,95845
100648,38745
100649,19066
100650,15256
100651,57975
100652,71630
100653,43870
100654,93404
100655,86631
100656,61785
100657,21040
100658,22197
100659,67487
100660,94344
100661,87148
100662,2540
100663,94801
100664,34994
100665,92309
100666,91239
100667,29298
100668,51914
100669,78918
100670,11776
100671,57551
100672,97182
100673,38643
100674,24546
100675,96740
100676,27792
100677,72670
100678,6958
100679,99414
100680,85081
100681,70158
100682,57132
100683,78998
100684,11653
100685,76202
100686,10840
100687,68495
100688,7030
100689,75163
100690,70645
100691,13636
100692,62209
100693,39254
100694,41837
100695,43147
100696,91993
100697,17171
100698,93578
100699,58922
100700,41959
100701,83643
100702,26084
100703,64996
100704,1289
100705,3173
100706,32956
100707,14541
100708,4449
100709,22722
100710,96327
100711,26289
100712,28742
100713,50684
100714,20999
100715,73606
100716,49583
100717,37551
100718,10331
100719,9012
100720,51404
100721,79170
100722,16512
100723,64333
100724,61809
100725,85462
100726,6490
100727,31986
100728,72339
100729,77944
100730,30532
100731,88853
100732,94518
100733,9320
100734,87851
100735,29366
100736,91319
100737,86553
100738,56026
100739,85979
100740,33849
100741,76283
100742,2718
100743,31977
100744,56609
100745,93323
100746,42919
100747,59053
100748,9890
100749,55510
100750,69175
100751,68084
100752,78291
100753,64154
100754,19368
100755,77327
100756,85277
100757,29046
100758,9456
100759,78759
100760,3947
100761,9890
100762,5120
100763,10929
100764,71076
100765,45710
100766,46218
100767,35602
100768,1488
100769,49145
100770,99320
100771,63565
100772,98789
100773,34013
100774,37558
100775,67645
100776,63717
100777,3004
100778,28915
100779,72790
100780,11260
100781,91139
100782,65157
100783,12790
100784,63404
100785,35097
100786,63391
100787,38135
100788,78787
100789,2930
100790,62164
100791,80290
100792,23941
100793,31954
100794,18695
100795,68942
100796,48511
100797,26601
100798,30773
100799,63384
100800,32573
100801,51992
100802,19200
100803,26066
100804,3248
100805,90823
100806,43368
100807,99581
100808,58297
100809,52608
100810,19793
100811,90152
100812,6585
100813,92153
100814,60574
100815,21847
100816,50587
100817,53263
100818,79092
100819,31799
100820,16022
100821,69888
100822,93979
100823,47916
100824,65641
100825,44519
100826,22711
100827,92190
100828,85300
100829,13287
100830,68307
100831,57078
100832,18625
100833,48434
100834,29069
100835,78852
100836,46949
100837,51118
100838,28023
100839,76161
100840,34593
100841,89081
100842,70443
100843,64497
100844,36965
100845,24373
100846,17543
100847,33341
100848,26728
100849,95508
100850,38293
100851,76753
100852,7529
100853,77350
100854,26343
100855,33297
100856,18694
100857,50624
100858,98961
100859,76669
100860,20496
100861,53651
100862,29060
100863,40261
100864,33390
100865,39267
100866,73542
100867,27573
100868,849
100869,32928
100870,14624
100871,2394
100872,48579
100873,40416
100874,44219
100875,85950
100876,69450
100877,80105
100878,51109
100879,1435
100880,9207
100881,78076
100882,29560
100883,83490
100884,59447
100885,64279
100886,22171
100887,72264
100888,51058
100889,65446
100890,41555
100891,84159
100892,98995
100893,56894
100894,52984
100895,96940
100896,70436
100897,3102
100898,64417
100899,25523
100900,40589
100901,44372
100902,91330
100903,90250
100904,97655
100905,60205
100906,16311
100907,3065
100908,60843
100909,13711
100910,60043
100911,67225
100912,2920
100913,53520
100914,46098
100915,42438
100916,4921
100917,22551
100918,56030
100919,39771
100920,62442
100921,17595
100922,17510
100923,26444
100924,10074
100925,34276
100926,54028
100927,89255
100928,38444
100929,20228
100930,6055
100931,19891
100932,1675
100933,58467
100934,51722
100935,46975
100936,63893
100937,75194
100938,56449
100939,51742
100940,99089
100941,59666
100942,45761
100943,68455
100944,10578
100945,90550
100946,27094
100947,39256
100948,29902
100949,38843
100950,90864
100951,35531
100952,60767
100953,57922
100954,97091
100955,49837
100956,97895
100957,22079
100958,30403
100959,52010
100960,92562
100961,91466
100962,74573
100963,50446
100964,53472
100965,88242
100966,32487
100967,58528
100968,72048
100969,56041
100970,15698
100971,23837
100972,695
100973,34213
100974,46341
100975,81552
100976,64708
100977,65160
